,precision,recall,f1-score,support
anger,0.6470588235294118,0.42424242424242425,0.5124792013311148,726.0
disgust,0.5844155844155844,0.36585365853658536,0.45,123.0
fear,0.7792207792207793,0.6122448979591837,0.6857142857142857,98.0
joy,0.8614741244119185,0.7832699619771863,0.8205128205128205,2104.0
neutral,0.6173007246376812,0.7627308337996642,0.6823529411764706,1787.0
sadness,0.7370689655172413,0.45118733509234826,0.5597381342062193,379.0
surprise,0.6701680672268907,0.4711964549483013,0.5533391153512576,677.0
micro avg,0.7169811320754716,0.664065151001018,0.6895093807804105,5894.0
macro avg,0.6995295812799297,0.5529607952222418,0.6091623568988812,5894.0
weighted avg,0.7239094555926295,0.664065151001018,0.6832515972793817,5894.0
samples avg,0.7176156255758246,0.6861065045144648,0.6958724894048277,5894.0
