,precision,recall,f1-score,support
anger,0.697841726618705,0.40082644628099173,0.5091863517060368,726.0
disgust,0.5476190476190477,0.37398373983739835,0.4444444444444444,123.0
fear,0.7128712871287128,0.7346938775510204,0.7236180904522613,98.0
joy,0.86059670781893,0.7951520912547528,0.8265810276679841,2104.0
neutral,0.6215482118605704,0.7683268047006155,0.6871871871871872,1787.0
sadness,0.7530864197530864,0.48284960422163586,0.5884244372990354,379.0
surprise,0.6680672268907563,0.46971935007385524,0.5516045099739809,677.0
micro avg,0.7226890756302521,0.67119104173736,0.6959887403237157,5894.0
macro avg,0.6945186610985441,0.5750788448457528,0.6187208641044186,5894.0
weighted avg,0.7300568401863364,0.67119104173736,0.6886375350483936,5894.0
samples avg,0.7230514096185738,0.6926478717523493,0.7019839076223819,5894.0
